[2024-04-30 11:27:13.823 - INFO] o.h.validator.internal.util.Version      :HV000001: Hibernate Validator 8.0.0.Final
[2024-04-30 11:27:15.344 - INFO] o.a.d.c.context.AbstractConfigManager    : [DUBBO] Config settings: {dubbo.config.mode=STRICT, dubbo.config.ignore-duplicated-interface=false}, dubbo version: 3.2.0-beta.3, current host: 10.96.54.43
[2024-04-30 11:27:15.345 - INFO] o.a.d.c.context.AbstractConfigManager    : [DUBBO] Config settings: {dubbo.config.mode=STRICT, dubbo.config.ignore-duplicated-interface=false}, dubbo version: 3.2.0-beta.3, current host: 10.96.54.43
[2024-04-30 11:27:15.414 - INFO] o.apache.dubbo.rpc.model.FrameworkModel  : [DUBBO] Reset global default application from null to Dubbo Application[1.1](unknown), dubbo version: 3.2.0-beta.3, current host: 10.96.54.43
[2024-04-30 11:27:15.415 - INFO] o.a.dubbo.rpc.model.ApplicationModel     : [DUBBO] Dubbo Application[1.1](unknown) is created, dubbo version: 3.2.0-beta.3, current host: 10.96.54.43
[2024-04-30 11:27:15.415 - INFO] org.apache.dubbo.rpc.model.ScopeModel    : [DUBBO] Dubbo Module[1.1.0] is created, dubbo version: 3.2.0-beta.3, current host: 10.96.54.43
[2024-04-30 11:27:15.421 - INFO] o.a.d.c.context.AbstractConfigManager    : [DUBBO] Config settings: {dubbo.config.mode=STRICT, dubbo.config.ignore-duplicated-interface=false}, dubbo version: 3.2.0-beta.3, current host: 10.96.54.43
[2024-04-30 11:27:15.422 - INFO] o.a.d.c.context.AbstractConfigManager    : [DUBBO] Config settings: {dubbo.config.mode=STRICT, dubbo.config.ignore-duplicated-interface=false}, dubbo version: 3.2.0-beta.3, current host: 10.96.54.43
[2024-04-30 11:27:15.432 - INFO] o.a.d.c.s.c.DubboSpringInitializer       : [DUBBO] Use default application: Dubbo Application[1.1](unknown), dubbo version: 3.2.0-beta.3, current host: 10.96.54.43
[2024-04-30 11:27:15.433 - INFO] org.apache.dubbo.rpc.model.ScopeModel    : [DUBBO] Dubbo Module[1.1.1] is created, dubbo version: 3.2.0-beta.3, current host: 10.96.54.43
[2024-04-30 11:27:15.437 - INFO] o.a.d.c.context.AbstractConfigManager    : [DUBBO] Config settings: {dubbo.config.mode=STRICT, dubbo.config.ignore-duplicated-interface=false}, dubbo version: 3.2.0-beta.3, current host: 10.96.54.43
[2024-04-30 11:27:15.440 - INFO] o.a.d.c.s.c.DubboSpringInitializer       : [DUBBO] Use default module model of target application: Dubbo Module[1.1.1], dubbo version: 3.2.0-beta.3, current host: 10.96.54.43
[2024-04-30 11:27:15.441 - INFO] o.a.d.c.s.c.DubboSpringInitializer       : [DUBBO] Bind Dubbo Module[1.1.1] to spring container: org.springframework.beans.factory.support.DefaultListableBeanFactory@7a682d35, dubbo version: 3.2.0-beta.3, current host: 10.96.54.43
[2024-04-30 11:27:15.752 - INFO] o.s.cloud.context.scope.GenericScope     :BeanFactory id=727ac0d0-20da-3264-88be-420992c22a6c
[2024-04-30 11:27:15.801 - INFO] f.a.ReferenceAnnotationBeanPostProcessor : [DUBBO] Register dubbo reference bean: accountTokenRPC = ReferenceBean:org.liyu.live.account.interfaces.IAccountTokenRPC() at private org.liyu.live.account.interfaces.IAccountTokenRPC org.liyu.live.gateway.filter.AccountCheckFilter.accountTokenRPC, dubbo version: 3.2.0-beta.3, current host: 10.96.54.43
[2024-04-30 11:27:16.048 - INFO] f.a.ReferenceAnnotationBeanPostProcessor : [DUBBO] class org.apache.dubbo.config.spring.beans.factory.annotation.ReferenceAnnotationBeanPostProcessor was destroying!, dubbo version: 3.2.0-beta.3, current host: 10.96.54.43
[2024-04-30 11:27:16.075 - INFO] trationDelegate$BeanPostProcessorChecker :Bean 'org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration' of type [org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2024-04-30 11:27:16.077 - INFO] trationDelegate$BeanPostProcessorChecker :Bean 'org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration$ReactorDeferringLoadBalancerFilterConfig' of type [org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration$ReactorDeferringLoadBalancerFilterConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2024-04-30 11:27:16.077 - INFO] trationDelegate$BeanPostProcessorChecker :Bean 'reactorDeferringLoadBalancerExchangeFilterFunction' of type [org.springframework.cloud.client.loadbalancer.reactive.DeferringLoadBalancerExchangeFilterFunction] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2024-04-30 11:27:16.377 - INFO] o.a.d.c.s.c.DubboConfigBeanInitializer   : [DUBBO] loading dubbo config beans ..., dubbo version: 3.2.0-beta.3, current host: 10.96.54.43
[2024-04-30 11:27:16.380 - INFO] o.a.d.c.s.c.DubboConfigBeanInitializer   : [DUBBO] dubbo config beans are loaded., dubbo version: 3.2.0-beta.3, current host: 10.96.54.43
[2024-04-30 11:27:16.471 - INFO] o.a.d.c.d.DefaultApplicationDeployer     : [DUBBO] No value is configured in the registry, the DynamicConfigurationFactory extension[name : nacos] supports as the config center, dubbo version: 3.2.0-beta.3, current host: 10.96.54.43
[2024-04-30 11:27:16.472 - INFO] o.a.d.c.d.DefaultApplicationDeployer     : [DUBBO] The registry[<dubbo:registry address="nacos://192.168.222.1:8848?namespace=liyu-live-test&&username=liyu&&password=liyu" protocol="nacos" port="8848" parameters="org.apache.dubbo.common.url.component.URLParam$URLParamMap@6105a67f" />] will be used as the config center, dubbo version: 3.2.0-beta.3, current host: 10.96.54.43
[2024-04-30 11:27:16.480 - INFO] o.a.d.c.d.DefaultApplicationDeployer     : [DUBBO] use registry as config-center: <dubbo:config-center highestPriority="false" id="config-center-nacos-192.168.222.1-8848" address="nacos://192.168.222.1:8848?namespace=liyu-live-test&&username=liyu&&password=liyu" protocol="nacos" port="8848" parameters="{namespace=liyu-live-test, client=null, password=liyu, username=liyu}" />, dubbo version: 3.2.0-beta.3, current host: 10.96.54.43
[2024-04-30 11:27:16.497 - INFO] c.a.n.client.env.SearchableProperties    :properties search order:PROPERTIES->JVM->ENV->DEFAULT_SETTING
[2024-04-30 11:27:16.498 - INFO] c.a.n.p.a.s.c.ClientAuthPluginManager    :[ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.impl.NacosClientAuthServiceImpl success.
[2024-04-30 11:27:16.499 - INFO] c.a.n.p.a.s.c.ClientAuthPluginManager    :[ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.ram.RamClientAuthServiceImpl success.
[2024-04-30 11:27:16.568 - INFO] com.alibaba.nacos.common.remote.client   :[RpcClientFactory] create a new rpc client of 5ef9e6b3-4455-4ae9-bb45-84ddd7507bd7_config-0
[2024-04-30 11:27:16.568 - INFO] com.alibaba.nacos.common.remote.client   :[5ef9e6b3-4455-4ae9-bb45-84ddd7507bd7_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$316/0x000001f90123b7d8
[2024-04-30 11:27:16.568 - INFO] com.alibaba.nacos.common.remote.client   :[5ef9e6b3-4455-4ae9-bb45-84ddd7507bd7_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$317/0x000001f90123bbf8
[2024-04-30 11:27:16.568 - INFO] com.alibaba.nacos.common.remote.client   :[5ef9e6b3-4455-4ae9-bb45-84ddd7507bd7_config-0] Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
[2024-04-30 11:27:16.568 - INFO] com.alibaba.nacos.common.remote.client   :[5ef9e6b3-4455-4ae9-bb45-84ddd7507bd7_config-0] RpcClient init, ServerListFactory = com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
[2024-04-30 11:27:16.568 - INFO] com.alibaba.nacos.common.remote.client   :[5ef9e6b3-4455-4ae9-bb45-84ddd7507bd7_config-0] Try to connect to server on start up, server: {serverIp = '192.168.222.1', server main port = 8848}
[2024-04-30 11:27:16.684 - INFO] com.alibaba.nacos.common.remote.client   :[5ef9e6b3-4455-4ae9-bb45-84ddd7507bd7_config-0] Success to connect to server [192.168.222.1:8848] on start up, connectionId = 1714447636574_192.168.222.1_50090
[2024-04-30 11:27:16.685 - INFO] com.alibaba.nacos.common.remote.client   :[5ef9e6b3-4455-4ae9-bb45-84ddd7507bd7_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
[2024-04-30 11:27:16.685 - INFO] com.alibaba.nacos.common.remote.client   :[5ef9e6b3-4455-4ae9-bb45-84ddd7507bd7_config-0] Notify connected event to listeners.
[2024-04-30 11:27:16.685 - INFO] com.alibaba.nacos.common.remote.client   :[5ef9e6b3-4455-4ae9-bb45-84ddd7507bd7_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$335/0x000001f90139bb10
[2024-04-30 11:27:16.685 - INFO] c.a.n.client.config.impl.ClientWorker    :[5ef9e6b3-4455-4ae9-bb45-84ddd7507bd7_config-0] Connected,notify listen context...
[2024-04-30 11:27:16.697 - WARN] o.a.d.common.config.ConfigurationUtils   : [DUBBO] Config center was specified, but no config item found., dubbo version: 3.2.0-beta.3, current host: 10.96.54.43, error code: 0-12. This may be caused by , go to https://dubbo.apache.org/faq/0/12 to find instructions. 
[2024-04-30 11:27:16.698 - WARN] o.a.d.common.config.ConfigurationUtils   : [DUBBO] Config center was specified, but no config item found., dubbo version: 3.2.0-beta.3, current host: 10.96.54.43, error code: 0-12. This may be caused by , go to https://dubbo.apache.org/faq/0/12 to find instructions. 
[2024-04-30 11:27:16.721 - INFO] o.a.dubbo.config.context.ConfigManager   : [DUBBO] The current configurations or effective configurations are as follows:, dubbo version: 3.2.0-beta.3, current host: 10.96.54.43
[2024-04-30 11:27:16.722 - INFO] o.a.dubbo.config.context.ConfigManager   : [DUBBO] <dubbo:application enableFileCache="true" executorManagementMode="default" parameters="{}" name="liyu-live-gateway" qosEnable="false" protocol="dubbo" />, dubbo version: 3.2.0-beta.3, current host: 10.96.54.43
[2024-04-30 11:27:16.723 - INFO] o.a.dubbo.config.context.ConfigManager   : [DUBBO] <dubbo:protocol preferSerialization="fastjson2,hessian2" name="dubbo" />, dubbo version: 3.2.0-beta.3, current host: 10.96.54.43
[2024-04-30 11:27:16.723 - INFO] o.a.dubbo.config.context.ConfigManager   : [DUBBO] <dubbo:registry address="nacos://192.168.222.1:8848?namespace=liyu-live-test&&username=liyu&&password=liyu" protocol="nacos" port="8848" parameters="org.apache.dubbo.common.url.component.URLParam$URLParamMap@6105a67f" />, dubbo version: 3.2.0-beta.3, current host: 10.96.54.43
[2024-04-30 11:27:16.723 - INFO] o.a.dubbo.config.context.ConfigManager   : [DUBBO] <dubbo:ssl />, dubbo version: 3.2.0-beta.3, current host: 10.96.54.43
[2024-04-30 11:27:16.756 - INFO] o.a.d.c.deploy.DefaultModuleDeployer     : [DUBBO] Dubbo Module[1.1.0] has been initialized!, dubbo version: 3.2.0-beta.3, current host: 10.96.54.43
[2024-04-30 11:27:16.763 - INFO] o.a.d.c.deploy.DefaultModuleDeployer     : [DUBBO] Dubbo Module[1.1.1] has been initialized!, dubbo version: 3.2.0-beta.3, current host: 10.96.54.43
[2024-04-30 11:27:16.783 - INFO] o.a.d.c.d.DefaultApplicationDeployer     : [DUBBO] No value is configured in the registry, the MetadataReportFactory extension[name : nacos] supports as the metadata center, dubbo version: 3.2.0-beta.3, current host: 10.96.54.43
[2024-04-30 11:27:16.784 - INFO] o.a.d.c.d.DefaultApplicationDeployer     : [DUBBO] The registry[<dubbo:registry address="nacos://192.168.222.1:8848?namespace=liyu-live-test&&username=liyu&&password=liyu" protocol="nacos" port="8848" parameters="org.apache.dubbo.common.url.component.URLParam$URLParamMap@6105a67f" />] will be used as the metadata center, dubbo version: 3.2.0-beta.3, current host: 10.96.54.43
[2024-04-30 11:27:16.789 - INFO] o.a.d.c.d.DefaultApplicationDeployer     : [DUBBO] use registry as metadata-center: <dubbo:metadata-report address="nacos://192.168.222.1:8848?namespace=liyu-live-test&&username=liyu&&password=liyu" protocol="nacos" port="8848" parameters="{password=liyu, namespace=liyu-live-test, client=null, username=liyu}" />, dubbo version: 3.2.0-beta.3, current host: 10.96.54.43
[2024-04-30 11:27:16.935 - INFO] c.a.n.client.env.SearchableProperties    :properties search order:PROPERTIES->JVM->ENV->DEFAULT_SETTING
[2024-04-30 11:27:16.937 - INFO] c.a.n.p.a.s.c.ClientAuthPluginManager    :[ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.impl.NacosClientAuthServiceImpl success.
[2024-04-30 11:27:16.938 - INFO] c.a.n.p.a.s.c.ClientAuthPluginManager    :[ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.ram.RamClientAuthServiceImpl success.
[2024-04-30 11:27:17.005 - INFO] o.a.d.c.d.DefaultApplicationDeployer     : [DUBBO] Dubbo Application[1.1](liyu-live-gateway) has been initialized!, dubbo version: 3.2.0-beta.3, current host: 10.96.54.43
[2024-04-30 11:27:17.155 - INFO] o.a.d.c.s.reference.ReferenceCreator     : [DUBBO] The configBean[type:ReferenceConfig<org.liyu.live.account.interfaces.IAccountTokenRPC>] has been built., dubbo version: 3.2.0-beta.3, current host: 10.96.54.43
[2024-04-30 11:27:18.467 - INFO] o.s.c.g.r.RouteDefinitionRouteLocator    :Loaded RoutePredicateFactory [After]
[2024-04-30 11:27:18.468 - INFO] o.s.c.g.r.RouteDefinitionRouteLocator    :Loaded RoutePredicateFactory [Before]
[2024-04-30 11:27:18.468 - INFO] o.s.c.g.r.RouteDefinitionRouteLocator    :Loaded RoutePredicateFactory [Between]
[2024-04-30 11:27:18.468 - INFO] o.s.c.g.r.RouteDefinitionRouteLocator    :Loaded RoutePredicateFactory [Cookie]
[2024-04-30 11:27:18.468 - INFO] o.s.c.g.r.RouteDefinitionRouteLocator    :Loaded RoutePredicateFactory [Header]
[2024-04-30 11:27:18.468 - INFO] o.s.c.g.r.RouteDefinitionRouteLocator    :Loaded RoutePredicateFactory [Host]
[2024-04-30 11:27:18.468 - INFO] o.s.c.g.r.RouteDefinitionRouteLocator    :Loaded RoutePredicateFactory [Method]
[2024-04-30 11:27:18.468 - INFO] o.s.c.g.r.RouteDefinitionRouteLocator    :Loaded RoutePredicateFactory [Path]
[2024-04-30 11:27:18.469 - INFO] o.s.c.g.r.RouteDefinitionRouteLocator    :Loaded RoutePredicateFactory [Query]
[2024-04-30 11:27:18.469 - INFO] o.s.c.g.r.RouteDefinitionRouteLocator    :Loaded RoutePredicateFactory [ReadBody]
[2024-04-30 11:27:18.469 - INFO] o.s.c.g.r.RouteDefinitionRouteLocator    :Loaded RoutePredicateFactory [RemoteAddr]
[2024-04-30 11:27:18.469 - INFO] o.s.c.g.r.RouteDefinitionRouteLocator    :Loaded RoutePredicateFactory [XForwardedRemoteAddr]
[2024-04-30 11:27:18.469 - INFO] o.s.c.g.r.RouteDefinitionRouteLocator    :Loaded RoutePredicateFactory [Weight]
[2024-04-30 11:27:18.469 - INFO] o.s.c.g.r.RouteDefinitionRouteLocator    :Loaded RoutePredicateFactory [CloudFoundryRouteService]
[2024-04-30 11:27:18.858 - WARN] iguration$LoadBalancerCaffeineWarnLogger :Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
[2024-04-30 11:27:19.286 - INFO] o.s.b.web.embedded.netty.NettyWebServer  :Netty started on port 80
[2024-04-30 11:27:19.500 - INFO] c.a.n.client.env.SearchableProperties    :properties search order:PROPERTIES->JVM->ENV->DEFAULT_SETTING
[2024-04-30 11:27:19.501 - INFO] com.alibaba.nacos.client.naming          :initializer namespace from System Property : null
[2024-04-30 11:27:19.502 - INFO] com.alibaba.nacos.client.naming          :initializer namespace from System Environment :null
[2024-04-30 11:27:19.503 - INFO] com.alibaba.nacos.client.naming          :initializer namespace from System Property :liyu-live-test
[2024-04-30 11:27:19.517 - INFO] c.a.n.p.a.s.c.ClientAuthPluginManager    :[ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.impl.NacosClientAuthServiceImpl success.
[2024-04-30 11:27:19.517 - INFO] c.a.n.p.a.s.c.ClientAuthPluginManager    :[ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.ram.RamClientAuthServiceImpl success.
[2024-04-30 11:27:19.585 - INFO] com.alibaba.nacos.common.remote.client   :[RpcClientFactory] create a new rpc client of 03c4ccdd-b1a3-4d9e-99e5-b6151f918dd2
[2024-04-30 11:27:19.587 - INFO] com.alibaba.nacos.common.remote.client   :[03c4ccdd-b1a3-4d9e-99e5-b6151f918dd2] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
[2024-04-30 11:27:19.587 - INFO] com.alibaba.nacos.common.remote.client   :[03c4ccdd-b1a3-4d9e-99e5-b6151f918dd2] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
[2024-04-30 11:27:19.588 - INFO] com.alibaba.nacos.common.remote.client   :[03c4ccdd-b1a3-4d9e-99e5-b6151f918dd2] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
[2024-04-30 11:27:19.589 - INFO] com.alibaba.nacos.common.remote.client   :[03c4ccdd-b1a3-4d9e-99e5-b6151f918dd2] Try to connect to server on start up, server: {serverIp = '192.168.222.1', server main port = 8848}
[2024-04-30 11:27:19.713 - INFO] com.alibaba.nacos.common.remote.client   :[03c4ccdd-b1a3-4d9e-99e5-b6151f918dd2] Success to connect to server [192.168.222.1:8848] on start up, connectionId = 1714447639596_192.168.222.1_50113
[2024-04-30 11:27:19.713 - INFO] com.alibaba.nacos.common.remote.client   :[03c4ccdd-b1a3-4d9e-99e5-b6151f918dd2] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
[2024-04-30 11:27:19.713 - INFO] com.alibaba.nacos.common.remote.client   :[03c4ccdd-b1a3-4d9e-99e5-b6151f918dd2] Notify connected event to listeners.
[2024-04-30 11:27:19.713 - INFO] com.alibaba.nacos.common.remote.client   :[03c4ccdd-b1a3-4d9e-99e5-b6151f918dd2] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$335/0x000001f90139bb10
[2024-04-30 11:27:19.713 - INFO] com.alibaba.nacos.client.naming          :Grpc connection connect
[2024-04-30 11:27:19.715 - INFO] com.alibaba.nacos.client.naming          :[REGISTER-SERVICE] liyu-live-test registering service liyu-live-gateway with instance Instance{instanceId='null', ip='10.96.54.43', port=80, weight=1.0, healthy=true, enabled=true, ephemeral=true, clusterName='DEFAULT', serviceName='null', metadata={preserved.register.source=SPRING_CLOUD}}
[2024-04-30 11:27:19.728 - INFO] c.a.c.n.registry.NacosServiceRegistry    :nacos registry, DEFAULT_GROUP liyu-live-gateway 10.96.54.43:80 register finished
[2024-04-30 11:27:19.806 - INFO] com.alibaba.nacos.client.naming          :[SUBSCRIBE-SERVICE] service:providers:org.liyu.live.account.interfaces.IAccountTokenRPC::, group:DEFAULT_GROUP, clusters: 
[2024-04-30 11:27:19.806 - INFO] com.alibaba.nacos.client.naming          :[SUBSCRIBE-SERVICE] service:providers:org.liyu.live.account.interfaces.IAccountTokenRPC::, group:DEFAULT_GROUP, clusters: 
[2024-04-30 11:27:19.806 - INFO] com.alibaba.nacos.client.naming          :[SUBSCRIBE-SERVICE] service:providers:org.liyu.live.user.interfaces.IUserPhoneRPC::, group:DEFAULT_GROUP, clusters: 
[2024-04-30 11:27:19.806 - INFO] com.alibaba.nacos.client.naming          :[SUBSCRIBE-SERVICE] service:providers:org.liyu.live.user.interfaces.IUserPhoneRPC::, group:DEFAULT_GROUP, clusters: 
[2024-04-30 11:27:19.806 - INFO] com.alibaba.nacos.client.naming          :[SUBSCRIBE-SERVICE] service:providers:org.liyu.live.gift.interfaces.IShopCarRPC::, group:DEFAULT_GROUP, clusters: 
[2024-04-30 11:27:19.806 - INFO] com.alibaba.nacos.client.naming          :[SUBSCRIBE-SERVICE] service:providers:org.liyu.live.gift.interfaces.IShopCarRPC::, group:DEFAULT_GROUP, clusters: 
[2024-04-30 11:27:19.808 - INFO] com.alibaba.nacos.client.naming          :[SUBSCRIBE-SERVICE] service:liyu-live-account-provider, group:DEFAULT_GROUP, clusters: 
[2024-04-30 11:27:19.808 - INFO] com.alibaba.nacos.client.naming          :[SUBSCRIBE-SERVICE] service:providers:org.liyu.live.id.generate.interfaces.IdGenerateRpc::, group:DEFAULT_GROUP, clusters: 
[2024-04-30 11:27:19.809 - INFO] com.alibaba.nacos.client.naming          :[SUBSCRIBE-SERVICE] service:liyu-live-account-provider, group:DEFAULT_GROUP, clusters: 
[2024-04-30 11:27:19.809 - INFO] com.alibaba.nacos.client.naming          :[SUBSCRIBE-SERVICE] service:providers:org.liyu.live.im.interfaces.ImTokenRpc::, group:DEFAULT_GROUP, clusters: 
[2024-04-30 11:27:19.810 - INFO] com.alibaba.nacos.client.naming          :[SUBSCRIBE-SERVICE] service:providers:org.liyu.live.im.interfaces.ImTokenRpc::, group:DEFAULT_GROUP, clusters: 
[2024-04-30 11:27:19.811 - INFO] com.alibaba.nacos.client.naming          :[SUBSCRIBE-SERVICE] service:providers:org.liyu.live.bank.interfaces.IPayOrderRpc::, group:DEFAULT_GROUP, clusters: 
[2024-04-30 11:27:19.812 - INFO] com.alibaba.nacos.client.naming          :[SUBSCRIBE-SERVICE] service:providers:org.liyu.live.id.generate.interfaces.IdGenerateRpc::, group:DEFAULT_GROUP, clusters: 
[2024-04-30 11:27:19.812 - INFO] com.alibaba.nacos.client.naming          :[SUBSCRIBE-SERVICE] service:providers:org.liyu.live.gift.interfaces.ISkuInfoRPC::, group:DEFAULT_GROUP, clusters: 
[2024-04-30 11:27:19.815 - INFO] com.alibaba.nacos.client.naming          :[SUBSCRIBE-SERVICE] service:liyu-live-gift-provider, group:DEFAULT_GROUP, clusters: 
[2024-04-30 11:27:19.817 - INFO] com.alibaba.nacos.client.naming          :[SUBSCRIBE-SERVICE] service:providers:org.liyu.live.bank.interfaces.IPayProductRpc::, group:DEFAULT_GROUP, clusters: 
[2024-04-30 11:27:19.818 - INFO] com.alibaba.nacos.client.naming          :[SUBSCRIBE-SERVICE] service:liyu-live-bank-api, group:DEFAULT_GROUP, clusters: 
[2024-04-30 11:27:19.819 - INFO] com.alibaba.nacos.client.naming          :[SUBSCRIBE-SERVICE] service:providers:org.liyu.live.gift.interfaces.ISkuStockInfoRPC::, group:DEFAULT_GROUP, clusters: 
[2024-04-30 11:27:19.819 - INFO] com.alibaba.nacos.client.naming          :[SUBSCRIBE-SERVICE] service:providers:org.liyu.live.bank.interfaces.IPayProductRpc::, group:DEFAULT_GROUP, clusters: 
[2024-04-30 11:27:19.820 - INFO] com.alibaba.nacos.client.naming          :[SUBSCRIBE-SERVICE] service:providers:org.liyu.live.im.interfaces.ImOnlineRpc::, group:DEFAULT_GROUP, clusters: 
[2024-04-30 11:27:19.820 - INFO] com.alibaba.nacos.client.naming          :[SUBSCRIBE-SERVICE] service:providers:org.liyu.live.gift.interfaces.IGiftRecordRpc::, group:DEFAULT_GROUP, clusters: 
[2024-04-30 11:27:19.822 - INFO] com.alibaba.nacos.client.naming          :[SUBSCRIBE-SERVICE] service:providers:org.liyu.live.bank.interfaces.IPayOrderRpc::, group:DEFAULT_GROUP, clusters: 
[2024-04-30 11:27:19.822 - INFO] com.alibaba.nacos.client.naming          :[SUBSCRIBE-SERVICE] service:providers:org.liyu.live.user.interfaces.IUserRpc::, group:DEFAULT_GROUP, clusters: 
[2024-04-30 11:27:19.822 - INFO] com.alibaba.nacos.client.naming          :[SUBSCRIBE-SERVICE] service:providers:org.liyu.live.living.interfaces.rpc.ILivingRoomRpc::, group:DEFAULT_GROUP, clusters: 
[2024-04-30 11:27:19.823 - INFO] com.alibaba.nacos.client.naming          :[SUBSCRIBE-SERVICE] service:providers:org.liyu.live.gift.interfaces.IGiftRecordRpc::, group:DEFAULT_GROUP, clusters: 
[2024-04-30 11:27:19.823 - INFO] com.alibaba.nacos.client.naming          :[SUBSCRIBE-SERVICE] service:providers:org.liyu.live.gift.interfaces.IGiftConfigRpc::, group:DEFAULT_GROUP, clusters: 
